prev_close,open,bid,ask,client_timestamp,pair
0.9319,0.9318,0.9319,0.9324,1685295735020,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685296955622,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685298282162,"USDEUR"
0.9319,0.9318,0.9319,0.9324,1685299329633,"USDEUR"
0.9319,0.9323,0.9323,0.9328,1685300558767,"USDEUR"
0.9319,0.9323,0.9324,0.9329,1685301715282,"USDEUR"
0.9319,0.9323,0.9324,0.9329,1685302933306,"USDEUR"
0.9319,0.9323,0.9324,0.9329,1685304158234,"USDEUR"
0.9319,0.9323,0.9324,0.9329,1685305369071,"USDEUR"
0.9319,0.9323,0.9324,0.9329,1685306533463,"USDEUR"
0.9319,0.9323,0.9325,0.933,1685307752240,"USDEUR"
0.9319,0.9323,0.9321,0.9326,1685308925671,"USDEUR"
0.9319,0.9323,0.9322,0.9327,1685310138237,"USDEUR"
0.9319,0.9323,0.9323,0.9328,1685311345568,"USDEUR"
0.9319,0.9323,0.9322,0.9327,1685312625493,"USDEUR"
0.9319,0.9323,0.9325,0.933,1685313721213,"USDEUR"
0.9319,0.9323,0.9327,0.9332,1685314936340,"USDEUR"
0.9319,0.9323,0.9323,0.9328,1685316189032,"USDEUR"
0.9319,0.9323,0.9324,0.9329,1685317329877,"USDEUR"
0.9319,0.9323,0.9325,0.933,1685318758170,"USDEUR"
0.9319,0.9323,0.9326,0.9331,1685320398472,"USDEUR"
0.9319,0.9323,0.9326,0.9331,1685322043292,"USDEUR"
0.9319,0.9323,0.9314,0.9319,1685324174898,"USDEUR"
0.9319,0.9323,0.9314,0.9319,1685325855733,"USDEUR"
0.9319,0.9323,0.9314,0.9319,1685327572979,"USDEUR"
0.9319,0.9323,0.9315,0.932,1685328446509,"USDEUR"
0.9319,0.9323,0.9316,0.9321,1685329382779,"USDEUR"
0.9319,0.9323,0.9312,0.9317,1685330620102,"USDEUR"
0.9319,0.9323,0.9317,0.9322,1685331776562,"USDEUR"
0.9319,0.9323,0.9317,0.9322,1685332993396,"USDEUR"
0.9319,0.9323,0.9316,0.9321,1685334330229,"USDEUR"
0.9319,0.9323,0.9312,0.9317,1685335333836,"USDEUR"
0.9319,0.9323,0.9309,0.9314,1685336544303,"USDEUR"
0.9319,0.9323,0.9311,0.9316,1685337879998,"USDEUR"
0.9319,0.9323,0.9311,0.9316,1685338930566,"USDEUR"
0.9319,0.9323,0.9309,0.9314,1685340178866,"USDEUR"
0.9319,0.9323,0.9307,0.9312,1685341594151,"USDEUR"
0.9319,0.9323,0.9306,0.9311,1685342551472,"USDEUR"
0.9319,0.9323,0.9314,0.9319,1685343755873,"USDEUR"
0.9319,0.9323,0.9312,0.9317,1685344954581,"USDEUR"
0.9319,0.9323,0.9317,0.9322,1685346140083,"USDEUR"
0.9319,0.9323,0.932,0.9325,1685347388203,"USDEUR"
0.9319,0.9323,0.932,0.9325,1685348726519,"USDEUR"
0.9319,0.9323,0.9317,0.9322,1685349736144,"USDEUR"
0.9319,0.9323,0.9323,0.9328,1685350973460,"USDEUR"
0.9319,0.9323,0.9328,0.9333,1685352177741,"USDEUR"
0.9319,0.9323,0.9328,0.9333,1685353338347,"USDEUR"
0.9319,0.9323,0.9328,0.9333,1685354551362,"USDEUR"
0.9319,0.9323,0.9331,0.9336,1685355950511,"USDEUR"
0.9319,0.9323,0.9332,0.9337,1685356919449,"USDEUR"
0.9319,0.9323,0.9328,0.9333,1685358145875,"USDEUR"
0.9319,0.9323,0.9328,0.9333,1685359328286,"USDEUR"
0.9319,0.9323,0.9328,0.9333,1685360526178,"USDEUR"
0.9319,0.9323,0.9332,0.9337,1685361788200,"USDEUR"
0.9319,0.9323,0.9332,0.9337,1685363362712,"USDEUR"
0.9319,0.9323,0.9334,0.9339,1685364464270,"USDEUR"
0.9319,0.9323,0.9328,0.9333,1685365413594,"USDEUR"
0.9319,0.9323,0.9331,0.9336,1685366704527,"USDEUR"
0.9319,0.9323,0.9335,0.934,1685367734122,"USDEUR"
0.9319,0.9323,0.9335,0.934,1685368947198,"USDEUR"
0.9319,0.9323,0.9337,0.9342,1685370265106,"USDEUR"
0.9319,0.9323,0.9337,0.9342,1685371340054,"USDEUR"
0.9319,0.9323,0.9335,0.934,1685372580247,"USDEUR"
0.9319,0.9323,0.9334,0.9339,1685373806270,"USDEUR"
